abisan,habisnya;,,,,,,
abisin,habiskan;,,,,,,
abisni,habis ini,,,,,,
abisnya,habisnya;,,,,,,
abiss,habis,,,,,,
abiss,habis,,,,,,
abisss,habis,,,,,,
abiz,habis,,,,,,
abizz,habis;,,,,,,
abizzz,habis,,,,,,
abizzzz,habis,,,,,,
abritase,arbitrase;,,,,,,
abs,habis,,,,,,
abu2,abu abu;,,,,,,
abubakar,abu bakar;,,,,,,
acaraÃ¯Â¿Â½ bakal,acaranya bakal;,,,,,,
acau,kacau;,,,,,,
accny,persetujuannya;,,,,,,
account,akun,,,,,,
achh,ah;,,,,,,
achok,ahok;,,,,,,
acra,acara,,,,,,
acut,akut;,,,,,,
ad,ada,,,,,,
ad,ada,,,,,,
ada2,ada-ada,,,,,,
adaa,ada,,,,,,
adadikompas,ada di kompas;,,,,,,
adafildankamibegadang,ada fil dan kamil begadang;,,,,,,
adain,mengadakan,,,,,,
adala,adalah;,,,,,,
adalnya,asalnya;,,,,,,
adaloh,ada lo;,,,,,,
adapin,menghadapi,,,,,,
adatgorontalo,adat gorontalo;,,,,,,
adatnye,adatnya;,,,,,,
adatuh,ada itu;,,,,,,
add,ada,,,,,,
addmath,add math;,,,,,,
ade,adik,,,,,,
adeeek,adik,,,,,,
adek,adik,,,,,,
adek2,adik-adik,,,,,,
adek-adekku,adik adikku,,,,,,
adekku,adikku;,,,,,,
adekx,adiknya,,,,,,
ademm,adem,,,,,,
ademmm,adem,,,,,,
adengan,adegan,,,,,,
adenya,adiknya,,,,,,
adeuh,aduh,,,,,,
adeuhh,aduh;,,,,,,
adh,aduh;,,,,,,
adih,aduh;,,,,,,
adiik,adik,,,,,,
adik2,adik adik;,,,,,,
adilan,keadilan;,,,,,,
adkah,adakah,,,,,,
adl,adalah,,,,,,
adlah,adalah;,,,,,,
adlh,adalah,,,,,,
ado,ada;,,,,,,
adohh,aduh;,,,,,,
adolexcent,remaja;,,,,,,
adoohhh,haduh,,,,,,
adren,adrenal;,,,,,,
ads,iklan;,,,,,,
aduha,aduh,,,,,,
aduhh,aduh,,,,,,
aduhh,aduh,,,,,,
aduhhh,aduh,,,,,,
aduhhhhhhhhh,aduh,,,,,,
aduuh,aduh,,,,,,
aduuhh,aduh,,,,,,
aduuhhh,aduh,,,,,,
aduuhhhh,aduh,,,,,,
aduuuh,aduh,,,,,,
adyem,adem,,,,,,
adzab,azab;,,,,,,
adzan,azan;,,,,,,
adzanin,azankan;,,,,,,
adzim,azim;,,,,,,
ae,saja,,,,,,
aee,saja,,,,,,
aelaah,alah;,,,,,,
aelah,alah,,,,,,
aelien1stmensive,alien first mensive;,,,,,,
aer,air,,,,,,
afdol,afdal;,,,,,,
affu19indosiar,aff under 19 indosiar;,,,,,,
after,sesudah,,,,,,
afternya,setelahnya;,,,,,,
agalanya,segalanya;,,,,,,
agama2,agama agama;,,,,,,
agamaÃ¯Â¿Â½,agamanya;,,,,,,
agamaataualqur,agama alquran;,,,,,,
agamany,agamanya;,,,,,,
agama'ny,agamanya,,,,,,
agamax,agamanya;,,,,,,
agan2,agan-agan,,,,,,
aggaran,anggaran;,,,,,,
aghh,ah;,,,,,,
agiah,ah;,,,,,,
agk,agak,,,,,,
agkya,agaknya;,,,,,,
agkya3,agaknya;,,,,,,
agm,agama;,,,,,,
agma,agama,,,,,,
agnes,agnez,,,,,,
agnostic,agnostik;,,,,,,
agung2in,agung agungkan;,,,,,,
agunh,agung;,,,,,,
ahaha,haha;,,,,,,
ahahah,haha;,,,,,,
ahahaha,haha;,,,,,,
ahahahaha,haha;,,,,,,
ahahahahaha,haha;,,,,,,
ahahahanjirrr,anjir,,,,,,
ahehehehe,hehe;,,,,,,
ahelah,alah;,,,,,,
aheruntukindonesia,aher untuk indonesia;,,,,,,
aheryawan,ahmad heryawan;,,,,,,
ahh,ah,,,,,,
ahh,ah,,,,,,
ahhÃ¯Â¿Â½,aha;,,,,,,
ahhahahha,haha;,,,,,,
ahhh,ah,,,,,,
ahhhh,ah,,,,,,
ahir,akhir;,,,,,,
ahirnya,akhirnya;,,,,,,
ahk,ahok;,,,,,,
ahlamdulillah,alhamdulillah;,,,,,,
ahli2,para ahli;,,,,,,
ahlikul,akhlak;,,,,,,
ahlu,ah lu;,,,,,,
ahlunnar,ahlun nar;,,,,,,
ahlussunah,ahlusunah;,,,,,,
ahlussunnah,ahlusunah;,,,,,,
ahlusunnah,ahlus sunah;,,,,,,
ahmaddani,ahmad dhani;,,,,,,
aho,ahok;,,,,,,
ahoak,ahok;,,,,,,
ahoax,ahok;,,,,,,
ahoaxx,ahok;,,,,,,
ahog,ahok;,,,,,,
ahogers,ahoker;,,,,,,
ahokataudjarot,ahok djarot;,,,,,,
ahokbebanijokowi,ahok beban jokowi;,,,,,,
ahokbtp,ahok basuki tjahaja purnama;,,,,,,
ahokditolakwarga,ahok ditolak warga;,,,,,,
ahokdjarot,ahok djarot;,,,,,,
ahokdjarotterbukti,ahok djarot terbukti;,,,,,,
ahokers,ahoker;,,,,,,
ahokfighter,ahok pejuang;,,,,,,
ahokforpresident,ahok for presiden;,,,,,,
ahokisthebest,ahok terbaik;,,,,,,
ahokjarot,ahok djarot;,,,,,,
ahokk,ahok;,,,,,,
ahokmasukbui,ahok masuk bui;,,,,,,
ahokmeskipun,ahok meskipun;,,,,,,
ahokpastitumbang,ahok pasti tumbang;,,,,,,
ahokpecahbelahbangsa,ahok pecah belah bangsa;,,,,,,
ahokpositifjadi,ahok positif jadi;,,,,,,
ahoksatuputaran,ahok satu putaran;,,,,,,
ahoksemangat,ahok semangat;,,,,,,
ahoktersangka,ahok tersangka;,,,,,,
ahokterzhalimi,ahok terzalimi;,,,,,,
ahoktetap,ahok tetap;,,,,,,
ahoktidaksendiri,ahok tidak sendiri;,,,,,,
ahokUSER,ahok;,,,,,,
ahook,ahok;,,,,,,
ahoq,ahok;,,,,,,
ahox,ahok;,,,,,,
ahsudalah,ah sudahlah;,,,,,,
ahy,agus harimurti yudhoyono;,,,,,,
aiish,aduh;,,,,,,
aileen,alien;,,,,,,
aing,aku;,,,,,,
aingpersibaingpolitik,saya persib saya politik;,,,,,,
aipet,ipad;,,,,,,
airmata,air mata;,,,,,,
aish,aduh;,,,,,,
aiskrim,es krim;,,,,,,
aisyah,aisya;,,,,,,
aj,saja,,,,,,
aj,aja,,,,,,
aja,saja,,,,,,
ajaa,saja,,,,,,
ajaaa,saja,,,,,,
ajaaa,aja,,,,,,
ajaaahhhhh,saja,,,,,,
ajach,saja;,,,,,,
ajadeh,saja deh;,,,,,,
ajah,saja,,,,,,
ajah,saja,,,,,,
ajahhh,saja,,,,,,
ajaibb,ajaib,,,,,,
ajaibbbbb,ajaib,,,,,,
ajak2,ajak ajak;,,,,,,
ajakalah,ajaklah;,,,,,,
ajakin,mengajak,,,,,,
ajalah,sajalah;,,,,,,
ajaran2,ajaran ajaran;,,,,,,
ajarin,ajarkan,,,,,,
aje,saja,,,,,,
aje,saja,,,,,,
ajg,anjing;,,,,,,
ajgg,anjing;,,,,,,
ajgggggg,anjing,,,,,,
ajh,saja,,,,,,
ajha,saja,,,,,,
ajhakabahajha,haha;,,,,,,
ajhh,saja,,,,,,
ajib,hebat;,,,,,,
ajibb,ajib,,,,,,
ajig,anjing;,,,,,,
ajiig,anjing,,,,,,
ajj,saja,,,,,,
ajj,saja,,,,,,
ajja,saja,,,,,,
ajjh,saja,,,,,,
ajusshi,ahjussi;,,,,,,
ak,aku,,,,,,
ak,aku,,,,,,
akalakalan,akal akalan;,,,,,,
akalakaln,akal akalan;,,,,,,
akankena,akan kena;,,,,,,
akau,aku,,,,,,
akaun,akun;,,,,,,
akbp,ajun komisaris besar polisi;,,,,,,
akeh,banyak;,,,,,,
akhen,aksen;,,,,,,
akherat,akhirat;,,,,,,
akherat,akhirat,,,,,,
akhi,saudara;,,,,,,
akhinya,akhirnya;,,,,,,
akhir2,akhir akhir;,,,,,,
akhirny,akhirnya;,,,,,,
akhirnyamush,akhirnya musuh;,,,,,,
akhirt,akhirat,,,,,,
akhirx,akhirnya;,,,,,,
akhiry,akhirnya,,,,,,
akhlah,akhlak,,,,,,
akhrt,akhirat,,,,,,
aki2,kakek kakek;,,,,,,
akirnya,akhirnya;,,,,,,
akk,administrasi kebijakan kesehatan;,,,,,,
akn,akan,,,,,,
akn,akan,,,,,,
akoh,aku;,,,,,,
akp,ajun komisaris polisi;,,,,,,
akrg,sekarang;,,,,,,
aksi2,aksi aksi;,,,,,,
aksi299,aksi 299;,,,,,,
aksi313jokowitakutlengser,aksi 313 jokowi takut lengser;,,,,,,
aksiaksi1120aksi112020aksi1120,aksi aksi;,,,,,,
aksibelaislan,aksi bela islam;,,,,,,
aksimaksa,aksi maksa;,,,,,,
aksinaga299,aksi naga 299;,,,,,,
aktifis,aktivis;,,,,,,
aktifitas,aktivitas;,,,,,,
aktingny,aktingnya;,,,,,,
aktivisi,aktivis;,,,,,,
aktivitasjokowi,aktivitas jokowi;,,,,,,
akuh,aku,,,,,,
akuhh,aku,,,,,,
akuin,akui,,,,,,
akumaupresidenbaru,aku mau presiden baru;,,,,,,
akumuslim,aku muslim;,,,,,,
akun2,akun akun;,,,,,,
akur2,akur akur;,,,,,,
akurr,akur;,,,,,,
akuseorangpendosa,aku seorang pendosa;,,,,,,
akuseruji,aku seruji;,,,,,,
akusisi,akuisisi;,,,,,,
akutansi,akuntansi;,,,,,,
akutu,aku itu;,,,,,,
akutuh,aku itu;,,,,,,
akuu,aku,,,,,,
akuuu,aku,,,,,,
akuuu,aku,,,,,,
akuuuur,akur,,,,,,
akuwa,aqua;,,,,,,
ala2,ala-ala,,,,,,
alaa,alah;,,,,,,
alaÃ¯Â¿Â½,alah;,,,,,,
alaah,alah;,,,,,,
alaahh,alah;,,,,,,
alaami,alami,,,,,,
alah,alah,,,,,,
alahuakbar,allahu akbar;,,,,,,
alaikm,alaykum;,,,,,,
alak,kepala,,,,,,
alalala,ala ala;,,,,,,
alallohu,alallahu;,,,,,,
alambanten,alam banten;,,,,,,
alamii,alami,,,,,,
alamiii,alami,,,,,,
alamiyah,alamiah;,,,,,,
alamsekitar,alam sekitar;,,,,,,
alang2,alang alang;,,,,,,
alasan2,alasan alasan;,,,,,,
alasanbikinaksi,alasan bikin aksi;,,,,,,
alasannyaÃ¯Â¿Â½,alasannya;,,,,,,
alay,berlebihan,,,,,,
alayy,alay;,,,,,,
alayy,berlebihan,,,,,,
albanna,al banna;,,,,,,
aleksis,alexis;,,,,,,
aleman,manja,,,,,,
alemanÃ¯Â¿Â½,alemannya;,,,,,,
alesan,alasan;,,,,,,
alesanya,alasannya;,,,,,,
alfaadli,alfadli;,,,,,,
alfaatihah,al fatihah;,,,,,,
alfathih,al fatih;,,,,,,
alfatihah,al fatihah;,,,,,,
alhabib,al habib;,,,,,,
alhamd,alhamdulillah,,,,,,
alhamdulilah,alhamdulillah;,,,,,,
alhamdulillaaaaah,alhamdulillah,,,,,,
alhamdulillaah,alhamdulillah;,,,,,,
alhamdulillahhh,alhamdulillah,,,,,,
alhamdulillahongkos,alhamdulillah ongkos;,,,,,,
alhamdullilah,alhamdulillah;,,,,,,
alhmdllh,alhamdulillah;,,,,,,
alhmdulillah,alhamdulillah;,,,,,,
alhundulillahj,alhamdulillah,,,,,,
aliÃ¯Â¿Â½,alia;,,,,,,
aliby,alibi;,,,,,,
aline,alinea;,,,,,,
alissnyaa,alisnya,,,,,,
aljufri,al jufri;,,,,,,
alkafirun,al kafirun;,,,,,,
alkhamdulilah,alhamdulillah,,,,,,
allaah,allah;,,,,,,
allaahh,allah,,,,,,
allahakbar,allahu akbar;,,,,,,
allahh,allah,,,,,,
allahhhh,allah,,,,,,
allahhhhhhh,allah,,,,,,
allahuakbar,allahu akbar;,,,,,,
allahuakhbar,allahu akbar;,,,,,,
allahughayatuna,allahu ghayatuna;,,,,,,
allahummagfirli,allahummaghfirli;,,,,,,
allahyarham,allah ya rahman;,,,,,,
allhamdulilah,alhamdulillah,,,,,,
alloh,allah,,,,,,
allohu,allahu;,,,,,,
allooww,halo;,,,,,,
alm,almarhum,,,,,,
almaidah,al maidah;,,,,,,
almaidah51,al maidah 51;,,,,,,
almh,almarhumah,,,,,,
almusawa,al musawa;,,,,,,
aloh,allah,,,,,,
alohmubarbar,allahmu barbar;,,,,,,
alqaeda,al qaeda;,,,,,,
alqt,alat;,,,,,,
alqur,alquran;,,,,,,
alu,aku,,,,,,
alumi,alumni;,,,,,,
alumni212,alumni 212;,,,,,,
alus,halus;,,,,,,
alus,halus,,,,,,
alutsista,alat utama sistem pertahanan;,,,,,,
alywafa,aly wafa;,,,,,,
am,sama,,,,,,
am,sama,,,,,,
ama,sama,,,,,,
ama,sama,,,,,,
amaattt,amat,,,,,,
amaca,ah masa;,,,,,,
amad,amat,,,,,,
amajing,luar biasa;,,,,,,
amak,tikar;,,,,,,
aman2,aman aman;,,,,,,
amaroso,amoroso;,,,,,,
amat,banget,,,,,,
amateur,amatir;,,,,,,
amatin,amati;,,,,,,
amatt,amat,,,,,,
amazing,menakjubkan,,,,,,
ambik,ambil;,,,,,,
ambil2,ambil ambil;,,,,,,
ambilin,ambilkan,,,,,,
ambis,ambisius;,,,,,,
ambisional,berambisi;,,,,,,
ambisitercapai,ambisi tercapai;,,,,,,
ambivient,ambient;,,,,,,
amblass,amblas;,,,,,,
ambleg,amblek;,,,,,,
ambulan,ambulans;,,,,,,
amcaman,ancaman;,,,,,,
ameeel,amel,,,,,,
ameen,amin,,,,,,
amek,ambek;,,,,,,
amen,amin,,,,,,
amfun,ampun,,,,,,
amhp,abdullah makhmud hendropriyono;,,,,,,
amiend,amien,,,,,,
amienn,amien,,,,,,
amiennn,amien,,,,,,
amiennnn,amien,,,,,,
amiien,amien,,,,,,
amiiii,amin,,,,,,
amiiiiiiiiiiiiiiiiin,amin,,,,,,
amiiiiiiiiiiin,amin,,,,,,
amiiiiiiiiiinnnnnnn,amin,,,,,,
amiiiiin,amin,,,,,,
amiiiiinnn,amin,,,,,,
amiiiiinnnnn,amin,,,,,,
amiiin,amin,,,,,,
amiiin,amin,,,,,,
amiiinn,amin,,,,,,
amiiinnn,amin,,,,,,
amiiinnnn,amin,,,,,,
amiin,amin,,,,,,
amiin,amin,,,,,,
amiinn,amin,,,,,,
amiinnn,amin,,,,,,
amiinnnn,amin,,,,,,
amin2,amin-amin,,,,,,
aminin,aminkan;,,,,,,
aminn,amin,,,,,,
aminn2,amin-amin,,,,,,
aminnn,amin,,,,,,
aminnnn,amin,,,,,,
aminnnn2,amin-amin,,,,,,
aminnnnn,amin,,,,,,
amiss,amis;,,,,,,
amit2,amit-amit,,,,,,
amitamit,amit amit;,,,,,,
ammiiin,amin,,,,,,
ammin,amin,,,,,,
amohhh,kamu,,,,,,
ampe,sampai,,,,,,
ampe,sampai,,,,,,
amploppp,amplop,,,,,,
amponnn,ampun,,,,,,
ampunin,ampuni,,,,,,
ampunn,ampun,,,,,,
ampunnn,ampun,,,,,,
ampunnnn,ampun,,,,,,
ampunnnnn,ampun,,,,,,
ampuun,ampun,,,,,,
ampuuun,ampun,,,,,,
ampuuun,ampun,,,,,,
ampuuunn,ampun,,,,,,
ampyunnnn,ampun,,,,,,
ampyuunn,ampun;,,,,,,
amrik,amerika;,,,,,,
amriki,amerika;,,,,,,
amstir,amatir;,,,,,,
amsyong,apes;,,,,,,
amu,kamu,,,,,,
amuh,kamu;,,,,,,
ana,saya;,,,,,,
"anak""",anak-anak,,,,,,
anak2,anak-anak,,,,,,
anak2e,anak-anaknya,,,,,,
anak2ku,anak anak ku;,,,,,,
anak2mu,anak-anakmu,,,,,,
anak2nya,anak-anaknya,,,,,,
anakjakartaasikasik,anak jakarta asyik asyik;,,,,,,
anakk,anak;,,,,,,
anakku,anakku;,,,,,,
anakny,anaknya,,,,,,
anakonda,anaconda;,,,,,,
anakx,anaknya,,,,,,
anak'y,anaknya,,,,,,
analisaku,analisisku;,,,,,,
anbiarkekinian,biar kekinian;,,,,,,
ancem2an,ancam ancaman;,,,,,,
ancen,memang;,,,,,,
ancok,jancuk;,,,,,,
ancoor,hancur;,,,,,,
ancor,hancur;,,,,,,
ancur,hancur,,,,,,
ancur,hancur,,,,,,
ancur2,hancur hancur;,,,,,,
ancuran,hancuran;,,,,,,
ancurin,hancurkan;,,,,,,
ancurrr,hancur,,,,,,
ancuur,hancur;,,,,,,
and,dan,,,,,,
andaa,anda;,,,,,,
andaÃ¯Â¿Â½,anda;,,,,,,
andaaa,anda,,,,,,
andah,anda,,,,,,
andalin,andalkan;,,,,,,
andiblz,andi balas;,,,,,,
andreopa,andre opa;,,,,,,
ane,saya;,,,,,,
aned,banget,,,,,,
anedh,banget,,,,,,
aneed,banget,,,,,,
aneh2,aneh-aneh,,,,,,
anehdidunia,aneh di dunia;,,,,,,
anehhh,aneh,,,,,,
anehhh,aneh,,,,,,
aneuk,anak;,,,,,,
aneut,banget,,,,,,
angan2,angan angan;,,,,,,
anget,hangat;,,,,,,
anget2,hangat hangat;,,,,,,
angetin,hangatkan;,,,,,,
angeus,angelus;,,,,,,
anggel,angel,,,,,,
anggep,anggap;,,,,,,
anggep,anggap,,,,,,
anggota2,anggota anggota;,,,,,,
anggotadpr,anggota dewan perwakilan rakyat;,,,,,,
anggotany,anggotanya;,,,,,,
angguunn,anggun,,,,,,
angkatan45,angkatan 1945;,,,,,,
angkatan66,angkatan 1966;,,,,,,
angkatan98,angkatan 1998;,,,,,,
angkot,angkutan kota;,,,,,,
angkrem,mengerami;,,,,,,
angktpn,angkatpun;,,,,,,
angst,bangsat;,,,,,,
aniespresiden2019,anies presiden 2019;,,,,,,
aniessndi,anies sandi;,,,,,,
anime2,anime anime;,,,,,,
anismatta,anis matta;,,,,,,
anj,anjing,,,,,,
anjaaaayyyyyy,anjay,,,,,,
anjaayy,anjay,,,,,,
anjay,anjir;,,,,,,
anjayyyy,anjay,,,,,,
anjeeng,anjing;,,,,,,
anjeng,anjing;,,,,,,
anjenk,anjing;,,,,,,
anjer,anjir;,,,,,,
anjerr,anjir,,,,,,
anjg,anjing;,,,,,,
anjggg,anjing,,,,,,
anjiiiiing,anjing,,,,,,
anjiing,anjing;,,,,,,
anjiirr,anjir;,,,,,,
anjiirrr,anjir,,,,,,
anjing2,anjing anjing;,,,,,,
anjing2in,anjing anjingi;,,,,,,
anjingg,anjing;,,,,,,
anjinggg,anjing,,,,,,
anjingnyaa,anjingnya,,,,,,
anjinh,anjing,,,,,,
anjink,anjing,,,,,,
anjinxx,anjing;,,,,,,
anjir,anjir,,,,,,
anjir,anjing,,,,,,
anjiritt,anjir;,,,,,,
anjirr,anjir,,,,,,
anjirrr,anjir,,,,,,
anjirrrr,anjir,,,,,,
anjirrrr,anjing,,,,,,
anjjjj,anjing,,,,,,
anjjjjjjjj,anjing,,,,,,
anjlok,turun,,,,,,
anjr,anjir,,,,,,
anjrit,anjir,,,,,,
anjrot,anjir,,,,,,
anjy,anjay,,,,,,
anjyng,anjing;,,,,,,
anjyr,anjir;,,,,,,
ank,anak,,,,,,
ank,anak,,,,,,
"ank""",anak-anak,,,,,,
ank2,anak-anak,,,,,,
ank2nya,anak-anaknya,,,,,,
ankknyaaa,anaknya,,,,,,
anknya,anaknya,,,,,,
ankx,anaknya,,,,,,
anlisa,analisis;,,,,,,
annnnjjjjjjrrrr,anjir,,,,,,
anomaly,anomali;,,,,,,
anshor,ansar;,,,,,,
antabur,ancuran tai burung;,,,,,,
antarabangsa,antara bangsa;,,,,,,
ante,antek;,,,,,,
antek2,antek antek;,,,,,,
antek2nya,antek anteknya;,,,,,,
antekny,anteknya;,,,,,,
anteng,tenang,,,,,,
anterin,antarkan,,,,,,
anthropology,antropologi;,,,,,,
anti2ny,anti antinya;,,,,,,
antihoax,anti hoaks;,,,,,,
antijil,anti jaringan islam liberal;,,,,,,
antikomunis,anti komunis;,,,,,,
antikorupsi,anti korupsi;,,,,,,
antisyiah,anti syiah;,,,,,,
antiterorisme,anti terorisme;,,,,,,
antitesa,antitesis;,,,,,,
antoncharliyan,anton charliyan;,,,,,,
antr,antar;,,,,,,
antraksi,atraksi;,,,,,,
antri,antre;,,,,,,
antrian,antrean;,,,,,,
antum,kalian;,,,,,,
